id,carat,color,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
465,2.35,1.0,62.6,60.0,8.42,8.38,5.26,0,0,0,1,0,0,0,1,0,0,0,0,0,17999
487,2.01,5.0,61.7,60.0,7.99,8.12,4.97,0,0,0,0,1,0,0,1,0,0,0,0,0,13464
533,2.32,4.0,62.0,57.0,8.45,8.49,5.25,0,0,1,0,0,0,0,0,1,0,0,0,0,17516
543,2.01,5.0,60.8,60.0,8.12,8.15,4.95,0,0,0,0,1,0,0,1,0,0,0,0,0,13849
619,2.02,4.0,62.7,57.0,8.07,7.93,5.03,0,0,1,0,0,0,0,0,1,0,0,0,0,13453
641,2.15,4.0,61.7,55.0,8.43,8.24,5.14,0,0,1,0,0,0,0,0,1,0,0,0,0,14519
653,2.11,4.0,61.0,57.0,8.37,8.29,5.08,0,0,1,0,0,0,0,1,0,0,0,0,0,15486
655,2.0,5.0,61.8,56.0,8.12,8.05,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,18426
656,2.52,3.0,66.9,57.0,8.39,8.33,5.6,1,0,0,0,0,1,0,0,0,0,0,0,0,10076
684,2.03,7.0,63.2,60.0,7.94,7.88,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,16043
703,2.18,5.0,62.9,59.0,8.25,8.21,5.18,0,0,0,1,0,0,0,1,0,0,0,0,0,13938
743,2.25,2.0,60.6,63.0,8.45,8.38,5.1,0,0,0,0,1,0,0,0,1,0,0,0,0,8442
827,2.2,4.0,60.0,58.0,8.47,8.5,5.09,0,0,1,0,0,0,0,0,1,0,0,0,0,16530
830,2.01,7.0,62.7,58.0,7.98,7.94,4.99,0,0,0,1,0,0,0,0,0,0,1,0,0,16778
860,2.02,3.0,61.9,58.0,8.06,8.1,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,15231
865,2.01,2.0,66.3,57.0,7.79,7.74,5.15,1,0,0,0,0,0,0,0,0,0,1,0,0,15729
867,3.0,3.0,59.3,64.0,9.32,9.19,5.5,0,1,0,0,0,0,0,0,1,0,0,0,0,14918
877,2.0,4.0,63.0,61.0,7.85,7.99,4.99,0,1,0,0,0,0,0,1,0,0,0,0,0,18376
881,2.09,6.0,61.1,56.0,8.3,8.23,5.05,0,0,0,1,0,0,0,1,0,0,0,0,0,18559
891,2.0,5.0,61.4,63.0,8.01,8.08,4.94,0,1,0,0,0,0,0,0,0,0,1,0,0,13542
893,2.05,1.0,62.4,57.0,8.14,8.08,5.06,0,0,1,0,0,0,0,1,0,0,0,0,0,17294
918,2.03,4.0,65.4,58.0,7.9,7.84,5.15,1,0,0,0,0,0,0,1,0,0,0,0,0,16280
944,2.24,1.0,61.4,57.0,8.43,8.35,5.15,0,0,0,1,0,0,0,0,1,0,0,0,0,16656
952,2.03,6.0,62.1,59.0,8.06,8.12,5.02,0,0,0,1,0,0,0,1,0,0,0,0,0,12862
1004,2.0,4.0,61.5,57.0,8.04,8.0,4.93,0,0,1,0,0,0,0,0,1,0,0,0,0,12587
1028,2.01,6.0,64.8,55.0,7.91,7.87,5.12,0,0,1,0,0,0,0,0,0,0,1,0,0,15729
1031,2.0,1.0,58.9,57.0,8.09,58.9,8.06,0,0,0,1,0,0,0,0,1,0,0,0,0,12210
1044,2.05,7.0,59.8,56.0,8.32,8.41,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,12839
1082,2.08,4.0,62.0,60.0,8.15,8.1,5.04,0,0,0,1,0,0,0,0,1,0,0,0,0,13437
1119,2.08,3.0,58.8,60.0,8.39,8.35,4.92,0,0,0,1,0,0,0,0,1,0,0,0,0,14462
1170,2.04,4.0,62.4,58.0,8.17,8.08,5.07,0,0,0,1,0,1,0,0,0,0,0,0,0,9905
1191,2.1,3.0,61.3,59.0,8.27,8.21,5.05,0,0,0,1,0,0,0,0,0,0,1,0,0,14359
1229,2.1,3.0,58.3,54.0,8.49,8.45,4.94,0,0,0,1,0,0,0,0,0,0,1,0,0,12401
1271,2.02,3.0,61.7,58.0,8.11,8.15,5.02,0,0,0,1,0,0,0,0,1,0,0,0,0,18320
1280,2.03,4.0,63.2,55.0,7.99,8.03,5.06,0,0,1,0,0,0,0,0,1,0,0,0,0,11951
1377,2.1,5.0,62.6,56.0,8.2,8.16,5.12,0,0,0,1,0,0,0,0,1,0,0,0,0,15175
1379,2.01,3.0,62.1,56.0,8.02,8.11,5.01,0,0,1,0,0,0,0,0,1,0,0,0,0,18674
1424,2.1,3.0,62.9,59.0,8.18,8.13,5.13,0,0,0,1,0,0,0,0,1,0,0,0,0,16783
1471,2.01,5.0,61.7,63.0,7.94,7.91,4.89,0,0,0,0,1,1,0,0,0,0,0,0,0,8104
1485,2.06,3.0,62.7,60.0,8.11,8.06,5.07,0,0,0,1,0,0,0,0,1,0,0,0,0,13198
1509,2.19,5.0,63.7,56.0,8.26,8.17,5.23,0,1,0,0,0,0,0,1,0,0,0,0,0,13978
1512,2.02,4.0,62.4,55.0,8.05,8.11,5.04,0,0,0,0,1,0,0,0,1,0,0,0,0,11757
1523,2.02,7.0,62.2,57.0,8.1,8.04,5.02,0,0,1,0,0,0,0,1,0,0,0,0,0,16704
1549,2.51,4.0,62.3,57.0,8.69,8.76,5.44,0,0,0,0,1,0,0,0,1,0,0,0,0,18090
1579,2.04,7.0,61.9,60.0,8.15,8.11,5.03,0,1,0,0,0,0,0,1,0,0,0,0,0,18468
1585,2.1,4.0,61.5,57.0,8.25,8.21,5.06,0,0,0,1,0,0,0,1,0,0,0,0,0,15007
1598,2.23,6.0,62.4,59.0,8.36,8.33,5.21,0,0,0,1,0,0,0,1,0,0,0,0,0,14258
1623,2.0,7.0,61.9,55.0,8.06,8.09,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,11792
1658,2.08,3.0,60.3,59.0,8.26,8.22,4.97,0,0,0,1,0,0,0,1,0,0,0,0,0,15065
1672,2.68,5.0,58.6,60.0,9.11,9.07,5.33,0,0,0,1,0,1,0,0,0,0,0,0,0,8419
1693,2.0,7.0,61.5,59.0,8.03,7.95,4.92,0,0,0,1,0,0,0,0,1,0,0,0,0,11413
1704,2.1,5.0,59.1,58.0,8.4,8.46,4.98,0,0,0,0,1,0,0,0,1,0,0,0,0,12381
1719,2.01,6.0,63.2,58.0,7.93,8.01,5.04,0,0,0,0,1,0,0,0,0,0,1,0,0,18507
1749,2.01,7.0,65.0,57.0,7.85,7.99,5.15,0,1,0,0,0,0,0,0,0,0,1,0,0,17497
1756,2.0,5.0,61.6,57.0,8.11,8.08,4.99,0,0,1,0,0,0,0,0,0,0,1,0,0,13531
1761,2.44,7.0,61.4,56.0,8.74,8.7,5.35,0,0,0,1,0,0,0,0,1,0,0,0,0,13027
1767,2.01,5.0,60.8,59.0,8.14,8.2,4.97,0,0,0,0,1,0,0,1,0,0,0,0,0,16956
1777,2.26,3.0,62.4,57.0,8.43,8.37,5.24,0,0,1,0,0,0,0,1,0,0,0,0,0,16904
1793,2.05,3.0,59.8,59.0,8.22,8.31,4.94,0,0,1,0,0,0,0,0,1,0,0,0,0,16446
1818,2.12,6.0,60.0,58.0,8.39,8.28,4.99,0,0,0,1,0,1,0,0,0,0,0,0,0,7508
1850,2.35,3.0,61.1,58.0,8.63,8.56,5.25,0,0,0,1,0,0,0,0,1,0,0,0,0,17294
1852,2.02,3.0,61.5,58.0,8.14,8.1,4.99,0,0,0,1,0,0,0,0,1,0,0,0,0,17166
1860,2.32,5.0,63.2,59.0,8.55,8.44,5.37,0,0,0,0,1,0,0,1,0,0,0,0,0,18371
1864,2.21,2.0,61.3,60.0,8.35,8.33,5.11,0,0,0,1,0,0,0,0,1,0,0,0,0,14299
1969,2.01,7.0,63.3,61.0,7.86,7.8,4.96,0,0,0,0,1,0,0,0,1,0,0,0,0,15618
2000,2.01,3.0,64.9,56.0,7.88,7.81,5.09,1,0,0,0,0,0,0,0,1,0,0,0,0,10184
2034,2.02,4.0,60.2,55.0,8.08,8.19,4.9,0,1,0,0,0,0,0,0,1,0,0,0,0,16565
2100,2.2,4.0,62.0,57.0,8.31,8.27,5.14,0,0,1,0,0,0,0,0,1,0,0,0,0,18168
2109,2.01,4.0,63.6,59.0,8.01,7.96,5.08,0,1,0,0,0,0,0,1,0,0,0,0,0,12369
2122,2.05,2.0,62.3,60.0,8.09,8.15,5.06,0,0,0,1,0,0,0,0,0,0,1,0,0,13543
2124,2.07,5.0,61.4,58.0,8.24,8.19,5.04,0,0,0,1,0,0,0,0,1,0,0,0,0,13786
2138,2.03,2.0,63.0,56.0,8.04,7.99,5.05,0,0,1,0,0,0,0,1,0,0,0,0,0,12618
2150,2.01,5.0,62.8,56.0,8.07,8.02,5.05,0,0,1,0,0,0,0,0,1,0,0,0,0,15841
2165,2.1,3.0,62.9,64.0,8.15,8.1,5.11,0,1,0,0,0,0,0,0,1,0,0,0,0,11818
2209,3.65,5.0,67.1,53.0,9.53,9.48,6.38,1,0,0,0,0,1,0,0,0,0,0,0,0,11668
2239,2.04,6.0,58.3,58.0,8.35,8.31,4.86,0,0,0,1,0,0,0,0,1,0,0,0,0,17379
2294,2.53,4.0,64.6,59.0,8.54,8.45,5.4,1,0,0,0,0,0,0,0,1,0,0,0,0,17103
2329,2.29,2.0,63.4,57.0,8.4,8.33,5.3,0,0,0,0,1,0,0,0,1,0,0,0,0,11502
2342,2.01,7.0,60.2,61.0,8.16,8.23,4.93,0,0,0,0,1,0,0,0,0,1,0,0,0,12845
2359,2.02,3.0,62.4,56.0,8.03,8.19,5.06,0,0,1,0,0,0,0,1,0,0,0,0,0,12591
2361,2.13,4.0,60.7,60.0,8.37,8.27,5.05,0,0,0,1,0,0,0,0,1,0,0,0,0,16931
2379,2.14,6.0,60.7,59.0,8.28,8.33,5.04,0,0,0,1,0,0,0,0,0,0,1,0,0,17038
2410,2.23,7.0,59.4,59.0,8.6,8.54,5.09,0,0,0,1,0,0,0,0,1,0,0,0,0,12921
2415,2.0,5.0,62.0,57.0,8.1,8.03,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,17871
2427,2.03,7.0,59.9,58.0,8.23,8.21,4.92,0,0,0,1,0,0,0,1,0,0,0,0,0,15095
2430,2.0,5.0,69.1,56.0,7.84,7.7,5.37,1,0,0,0,0,0,0,0,1,0,0,0,0,8736
2511,2.04,3.0,60.9,59.0,8.25,8.21,5.01,0,0,0,1,0,0,0,0,0,0,1,0,0,11209
2527,2.14,4.0,63.8,57.0,8.17,8.14,5.2,0,1,0,0,0,0,0,0,1,0,0,0,0,14452
2606,2.28,7.0,62.5,58.0,8.39,8.33,5.23,0,0,0,1,0,0,0,0,1,0,0,0,0,15413
2660,2.14,2.0,62.7,55.0,8.26,8.21,5.16,0,0,1,0,0,0,0,0,1,0,0,0,0,13065
2691,2.29,2.0,60.8,60.0,8.47,8.5,5.16,0,0,0,1,0,0,0,0,0,0,1,0,0,18653
2721,2.12,6.0,62.4,58.0,8.22,8.18,5.12,0,0,0,1,0,0,0,0,1,0,0,0,0,13884
2777,3.01,5.0,56.1,62.0,9.54,9.38,5.31,1,0,0,0,0,1,0,0,0,0,0,0,0,10761
2781,2.01,4.0,59.1,60.0,8.31,8.21,4.88,0,0,0,1,0,0,0,0,1,0,0,0,0,13811
2808,2.39,5.0,62.1,57.0,8.53,8.57,5.31,0,0,1,0,0,0,0,0,0,1,0,0,0,17365
2845,2.18,4.0,63.3,59.0,8.25,8.2,5.2,0,0,0,0,1,0,0,0,1,0,0,0,0,12377
2846,2.01,6.0,60.2,59.0,8.18,8.12,4.91,0,0,0,1,0,0,0,1,0,0,0,0,0,17474
2856,2.27,3.0,61.1,60.0,8.46,8.42,5.16,0,0,1,0,0,0,0,1,0,0,0,0,0,18343
2945,2.01,6.0,61.8,62.0,8.05,7.97,4.95,0,0,0,1,0,0,0,0,1,0,0,0,0,11646
2992,2.04,4.0,59.9,59.0,8.25,8.32,4.96,0,0,0,0,1,0,0,0,0,0,1,0,0,12095
3007,2.54,5.0,62.5,55.0,8.75,8.69,5.45,0,0,1,0,0,0,0,0,1,0,0,0,0,14421
3021,2.29,3.0,62.8,56.0,8.36,8.39,5.25,0,0,1,0,0,0,0,0,1,0,0,0,0,14500
3028,2.01,3.0,61.2,57.2,8.08,8.14,4.97,0,0,0,1,0,0,0,0,1,0,0,0,0,18705
3038,2.24,7.0,61.9,58.0,8.29,8.36,5.15,0,0,0,1,0,0,0,0,1,0,0,0,0,15375
3050,2.04,6.0,63.1,58.0,8.06,7.99,5.06,0,0,0,0,1,0,0,1,0,0,0,0,0,15412
3073,2.17,6.0,58.9,62.0,8.48,8.52,5.01,0,1,0,0,0,0,0,0,1,0,0,0,0,16036
3079,2.41,3.0,62.5,57.0,8.57,8.51,5.34,0,0,1,0,0,0,0,0,1,0,0,0,0,16987
3111,2.03,6.0,60.8,59.0,8.12,8.2,4.96,0,0,1,0,0,0,0,0,1,0,0,0,0,13398
3128,2.01,5.0,63.7,59.0,7.89,7.84,5.01,0,1,0,0,0,0,0,0,1,0,0,0,0,12423
3233,2.18,2.0,61.4,60.0,8.37,8.31,5.12,0,0,1,0,0,0,0,0,1,0,0,0,0,14870
3238,2.01,6.0,62.4,58.0,8.08,8.05,5.03,0,0,0,1,0,0,0,0,1,0,0,0,0,14279
3250,2.02,5.0,63.2,54.0,7.96,7.82,4.99,0,0,0,0,1,0,0,0,1,0,0,0,0,13554
3255,2.01,3.0,60.9,60.0,8.1,8.06,4.92,0,0,0,1,0,0,0,1,0,0,0,0,0,15528
3284,2.01,5.0,65.9,57.0,7.8,7.74,5.12,1,0,0,0,0,0,0,0,1,0,0,0,0,12617
3307,2.04,5.0,62.4,58.0,8.08,8.17,5.07,0,0,0,1,0,1,0,0,0,0,0,0,0,9727
3311,2.02,7.0,58.7,62.0,8.23,8.2,4.82,0,0,0,0,1,0,0,0,1,0,0,0,0,14795
3319,2.0,4.0,63.1,53.0,7.99,8.11,5.08,0,0,0,0,1,0,0,0,1,0,0,0,0,16380
3322,2.2,2.0,62.0,57.0,8.38,8.34,5.18,0,0,0,1,0,0,0,0,0,0,1,0,0,18364
3337,2.02,7.0,62.1,56.0,8.07,7.99,4.99,0,0,0,1,0,0,0,0,1,0,0,0,0,18678
3383,2.02,4.0,62.9,60.0,8.05,8.01,5.05,0,0,0,1,0,0,0,0,1,0,0,0,0,13991
3392,2.0,5.0,63.0,59.0,8.0,7.97,5.03,0,0,0,1,0,0,0,0,0,0,0,0,1,15214
3406,2.01,2.0,63.8,58.0,7.82,7.89,5.01,0,1,0,0,0,0,0,0,0,0,1,0,0,15147
3431,2.39,1.0,62.2,55.0,8.58,8.56,5.33,0,0,1,0,0,0,0,0,0,0,1,0,0,17955
3553,2.06,1.0,60.3,56.0,8.29,8.25,4.99,0,0,1,0,0,0,0,0,1,0,0,0,0,18371
3605,2.01,5.0,61.5,60.0,8.13,8.07,4.98,0,0,0,1,0,0,0,0,0,0,1,0,0,13228
3610,2.19,7.0,62.3,62.0,8.27,8.25,5.15,0,0,0,1,0,0,0,1,0,0,0,0,0,15801
3621,2.01,3.0,64.0,56.0,7.93,7.91,5.07,0,1,0,0,0,1,0,0,0,0,0,0,0,6686
3666,2.11,6.0,60.8,61.0,8.32,8.28,5.05,0,0,0,1,0,0,0,0,0,0,1,0,0,16395
3699,2.01,3.0,62.1,57.0,8.07,8.03,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,12338
3804,2.01,3.0,65.6,56.0,7.89,7.84,6.16,1,0,0,0,0,0,0,0,1,0,0,0,0,15562
3819,2.15,1.0,63.4,56.0,8.2,8.15,5.18,0,0,0,0,1,0,0,0,1,0,0,0,0,12100
3840,2.01,6.0,61.5,56.0,8.1,8.16,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,14103
3846,2.0,7.0,58.5,68.0,8.26,8.15,4.8,1,0,0,0,0,0,0,0,0,1,0,0,0,11322
3856,2.09,6.0,60.1,63.0,8.21,8.16,4.92,0,0,0,0,1,0,0,0,1,0,0,0,0,12295
3904,2.2,7.0,61.4,57.0,8.41,8.37,5.15,0,0,1,0,0,0,0,0,0,1,0,0,0,15092
3906,2.22,6.0,59.9,59.0,8.46,8.41,5.05,0,0,0,1,0,0,0,1,0,0,0,0,0,18432
3965,2.33,6.0,62.0,57.0,8.52,8.45,5.26,0,0,1,0,0,0,0,0,0,0,1,0,0,17504
4001,2.01,1.0,63.5,59.0,8.03,7.93,5.07,0,0,0,0,1,0,0,0,0,1,0,0,0,14792
4025,2.54,3.0,61.3,58.0,8.8,8.7,5.36,0,0,0,1,0,0,0,0,1,0,0,0,0,14717
4038,2.08,3.0,62.6,59.0,8.13,8.1,5.08,0,0,0,1,0,0,0,1,0,0,0,0,0,17778
4041,2.44,1.0,60.1,59.0,8.75,8.83,5.28,0,0,0,0,1,0,0,0,0,0,1,0,0,16533
4046,2.22,5.0,62.4,55.0,8.29,8.35,5.19,0,0,0,0,1,0,0,1,0,0,0,0,0,17160
4053,2.0,7.0,63.0,61.0,7.93,7.97,5.01,0,1,0,0,0,0,0,1,0,0,0,0,0,15072
4104,2.0,3.0,66.4,55.0,7.82,7.67,5.15,1,0,0,0,0,0,0,1,0,0,0,0,0,11189
4106,2.0,5.0,63.8,59.0,7.93,7.88,5.04,0,1,0,0,0,0,0,0,1,0,0,0,0,12554
4114,2.0,3.0,61.4,59.0,8.07,8.0,4.93,0,0,0,1,0,0,0,0,1,0,0,0,0,11108
4144,2.26,4.0,61.9,58.0,8.37,8.33,5.17,0,0,0,1,0,0,0,0,1,0,0,0,0,11226
4168,2.14,6.0,62.0,60.0,8.27,8.19,5.1,0,0,0,1,0,0,0,0,1,0,0,0,0,16723
4174,2.01,5.0,61.8,62.0,7.98,8.07,4.96,0,0,0,0,1,0,0,1,0,0,0,0,0,13691
4197,2.0,4.0,61.4,59.0,8.14,8.06,4.97,0,0,0,1,0,0,0,0,1,0,0,0,0,11544
4231,2.03,1.0,61.3,59.0,8.11,8.08,4.96,0,0,0,1,0,0,0,1,0,0,0,0,0,18423
4232,2.09,4.0,62.1,58.0,8.17,8.22,5.09,0,0,0,1,0,0,0,0,1,0,0,0,0,17001
4237,2.26,6.0,60.3,58.0,8.56,8.51,5.15,0,0,0,1,0,0,0,1,0,0,0,0,0,18426
4304,2.04,3.0,61.8,60.0,8.09,8.13,5.01,0,0,0,1,0,0,0,0,1,0,0,0,0,16872
4322,2.0,4.0,63.8,57.0,7.93,7.88,5.04,0,1,0,0,0,0,0,0,1,0,0,0,0,10528
4335,2.03,4.0,61.1,58.0,8.11,8.06,4.94,0,0,0,1,0,1,0,0,0,0,0,0,0,6377
4341,2.0,3.0,60.1,62.0,8.07,8.0,4.83,0,0,0,1,0,0,0,0,1,0,0,0,0,15485
4355,2.1,5.0,61.4,66.0,8.26,8.19,5.05,1,0,0,0,0,0,0,0,1,0,0,0,0,11946
4408,2.01,7.0,61.6,57.0,8.1,8.04,4.97,0,0,1,0,0,0,0,1,0,0,0,0,0,17403
4436,2.53,5.0,62.4,57.0,8.68,8.59,5.39,0,0,1,0,0,0,0,1,0,0,0,0,0,16709
4469,2.53,2.0,62.6,60.0,8.66,8.55,5.39,0,0,0,1,0,0,0,0,1,0,0,0,0,14659
4516,2.54,2.0,62.4,60.0,8.58,8.73,5.4,0,0,0,0,1,0,0,0,1,0,0,0,0,17996
4519,2.0,4.0,63.4,60.0,7.97,7.92,5.04,0,0,0,0,1,0,0,0,1,0,0,0,0,14763
4533,2.51,1.0,63.7,61.0,8.51,8.48,5.41,0,1,0,0,0,0,0,0,1,0,0,0,0,14209
4569,2.05,7.0,63.7,61.0,8.03,7.99,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,16295
4650,2.04,1.0,62.5,52.0,8.02,8.17,5.06,0,0,0,0,1,0,0,0,1,0,0,0,0,14477
4662,2.06,2.0,61.0,59.0,8.24,8.21,5.02,0,0,0,1,0,0,0,0,1,0,0,0,0,14982
4700,2.55,3.0,61.8,62.0,8.7,8.65,5.36,0,0,0,1,0,0,0,0,0,1,0,0,0,18766
4730,2.14,3.0,62.0,54.0,8.28,8.31,5.15,0,0,1,0,0,0,0,0,0,0,1,0,0,14802
4743,2.22,4.0,62.7,58.0,8.33,8.28,5.21,0,0,0,1,0,0,0,1,0,0,0,0,0,14095
4757,2.01,6.0,62.1,59.0,7.98,8.06,4.98,0,0,0,1,0,0,0,0,0,0,1,0,0,15379
4796,2.08,5.0,61.8,56.0,8.22,8.18,5.07,0,0,1,0,0,0,0,0,1,0,0,0,0,18124
4816,2.03,6.0,62.9,57.0,8.02,8.06,5.06,0,0,0,0,1,0,0,1,0,0,0,0,0,15153
4847,2.06,4.0,60.8,60.0,8.25,8.16,4.99,0,0,0,1,0,0,0,1,0,0,0,0,0,15494
4861,2.2,2.0,60.2,60.0,8.42,8.49,5.09,0,0,0,0,1,0,0,0,1,0,0,0,0,15424
4876,2.39,5.0,59.6,60.0,8.71,8.77,5.21,0,0,0,0,1,0,0,0,0,1,0,0,0,17920
4927,2.28,7.0,62.1,59.0,8.4,8.44,5.23,0,0,0,1,0,0,0,0,1,0,0,0,0,17892
4936,2.14,5.0,61.3,61.0,8.32,8.28,5.09,0,0,0,1,0,0,0,1,0,0,0,0,0,15913
4986,2.55,3.0,63.7,59.0,8.66,8.57,5.49,0,1,0,0,0,0,0,0,1,0,0,0,0,14775
4994,2.01,3.0,59.3,58.0,8.25,8.19,4.87,0,0,1,0,0,0,0,1,0,0,0,0,0,17403
5000,2.03,5.0,61.7,54.0,8.07,8.19,5.02,0,0,0,0,1,0,0,1,0,0,0,0,0,18507
5005,2.0,5.0,64.1,57.0,7.91,7.82,5.04,0,1,0,0,0,0,0,0,1,0,0,0,0,17094
5040,2.13,3.0,62.6,56.0,8.21,8.14,5.12,0,0,1,0,0,0,0,0,1,0,0,0,0,12356
5079,2.43,4.0,61.7,60.0,8.54,8.49,5.25,0,0,0,1,0,1,0,0,0,0,0,0,0,9716
5110,2.04,4.0,63.0,58.0,7.99,8.02,5.04,0,0,0,0,1,0,0,0,0,0,1,0,0,13609
5120,2.0,5.0,61.7,58.0,7.82,7.77,4.81,0,0,0,1,0,0,0,1,0,0,0,0,0,11200
5121,2.02,1.0,62.1,61.0,8.06,7.99,4.98,0,0,0,1,0,0,0,1,0,0,0,0,0,17265
5128,2.12,5.0,62.2,57.0,8.21,8.14,5.08,0,0,1,0,0,0,0,1,0,0,0,0,0,12284
5131,2.13,1.0,61.5,58.0,8.28,8.33,5.11,0,0,0,1,0,0,0,0,1,0,0,0,0,17045
5144,2.01,3.0,61.9,57.0,8.13,7.96,4.98,0,0,0,1,0,0,0,0,1,0,0,0,0,13199
5148,2.66,5.0,63.8,57.0,8.71,8.65,5.54,0,1,0,0,0,0,0,0,1,0,0,0,0,16239
5159,2.03,6.0,64.4,54.0,7.97,7.92,5.12,0,0,1,0,0,0,0,1,0,0,0,0,0,16900
5188,2.06,4.0,61.1,57.0,8.3,8.24,5.05,0,0,0,1,0,0,0,0,1,0,0,0,0,12842
5191,2.03,3.0,62.1,57.0,8.15,8.08,5.04,0,0,1,0,0,0,0,0,0,0,1,0,0,13880
5213,2.08,3.0,57.0,63.0,8.49,8.45,4.83,0,1,0,0,0,0,0,0,1,0,0,0,0,11313
5229,2.01,6.0,63.1,58.0,7.89,8.01,5.02,0,1,0,0,0,0,0,0,1,0,0,0,0,15255
5242,2.28,2.0,61.6,57.0,8.5,8.43,5.21,0,0,1,0,0,0,0,1,0,0,0,0,0,12755
5268,2.01,3.0,63.0,56.0,8.05,7.96,5.05,0,0,0,1,0,0,0,0,1,0,0,0,0,11312
5280,2.02,5.0,61.9,60.0,8.12,8.06,5.01,0,0,0,0,1,0,0,0,1,0,0,0,0,14715
5281,2.31,7.0,62.5,55.0,8.43,8.5,5.29,0,0,0,0,1,0,0,1,0,0,0,0,0,16801
5296,2.22,4.0,62.7,61.2,8.23,8.31,5.19,0,1,0,0,0,0,0,0,1,0,0,0,0,14285
5304,2.01,5.0,56.9,59.0,8.41,8.3,4.74,0,1,0,0,0,0,0,0,1,0,0,0,0,11312
5358,2.14,7.0,59.7,57.0,8.41,8.48,5.04,0,0,0,0,1,0,0,0,0,0,1,0,0,16914
5369,2.02,4.0,61.3,56.0,8.22,8.16,5.02,0,0,0,1,0,0,0,0,1,0,0,0,0,16929
5382,2.03,6.0,61.5,57.0,8.15,8.07,4.99,0,0,1,0,0,0,0,0,1,0,0,0,0,12154
5436,2.01,4.0,60.1,61.0,8.04,8.12,4.86,0,1,0,0,0,0,0,1,0,0,0,0,0,18374
