carat,depth,table,x,y,z,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7,price
0.71,61.2,58.0,5.77,5.79,3.54,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2400
0.33,61.3,55.0,4.47,4.5,2.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1240
1.3,60.9,57.0,7.04,7.11,4.31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11853
0.3,61.8,58.0,4.36,4.31,2.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,844
1.29,60.7,57.0,7.08,7.05,4.29,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11197
0.69,62.4,56.0,5.66,5.69,3.55,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2297
0.28,60.6,55.0,4.28,4.3,2.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,787
0.31,61.2,56.0,4.38,4.34,2.67,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1046
1.4,61.8,54.0,7.16,7.21,4.44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8268
1.01,63.3,59.0,6.24,6.31,3.97,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4781
0.5,59.3,59.0,5.19,5.24,3.09,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1410
1.5,61.1,60.0,7.4,7.3,4.49,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13528
1.03,61.3,56.0,6.52,6.5,3.99,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7648
1.01,64.7,56.0,6.34,6.27,4.08,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5034
1.51,62.0,58.0,7.31,7.37,4.55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6139
0.76,61.2,57.0,5.88,5.91,3.61,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2765
1.21,60.6,60.0,6.89,6.85,4.16,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5726
0.74,61.9,57.0,5.83,5.81,3.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2374
0.32,62.6,55.0,4.38,4.41,2.75,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,445
0.59,61.4,58.0,5.38,5.4,3.31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1657
1.02,62.6,58.0,6.42,6.36,4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4455
2.01,64.9,60.0,7.82,7.78,5.06,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13744
0.33,62.6,55.0,4.42,4.4,2.76,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,854
0.91,63.0,57.0,6.1,6.19,3.87,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3087
0.43,61.2,57.0,4.81,4.86,2.96,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1433
0.23,61.9,56.0,3.94,3.96,2.44,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,493
0.52,60.3,60.0,5.17,5.21,3.13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1689
0.3,63.5,57.0,4.24,4.27,2.7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,500
0.34,60.7,57.0,4.51,4.55,2.75,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,749
2.0,64.2,52.0,7.91,7.88,5.07,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11400
1.7,61.3,57.0,7.6,7.67,4.68,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15797
0.33,60.9,56.0,4.49,4.51,2.74,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,940
1.01,60.4,57.0,6.45,6.49,3.91,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6577
0.59,62.9,57.0,5.36,5.33,3.36,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1789
0.35,62.6,53.0,4.52,4.55,2.84,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,849
0.8,59.9,59.0,6.01,6.07,3.62,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2762
1.1,62.5,58.0,6.59,6.54,4.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5729
1.1,62.3,56.0,6.63,6.59,4.12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6387
0.33,62.4,57.0,4.39,4.42,2.75,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,492
1.51,65.5,56.0,7.18,7.13,4.69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6816
0.4,62.6,58.0,4.72,4.68,2.94,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1050
0.33,62.6,58.0,4.42,4.34,2.74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,594
1.32,60.3,60.0,7.14,7.09,4.29,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6653
0.54,61.7,57.0,5.23,5.24,3.23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1846
0.43,61.7,57.0,4.83,4.86,2.99,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1286
0.42,62.3,55.0,4.76,4.81,2.98,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1216
1.0,62.3,53.0,6.35,6.39,3.97,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7528
0.52,62.6,59.0,5.03,5.13,3.18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1860
0.71,61.1,57.0,5.71,5.75,3.5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2313
0.41,62.4,60.0,4.77,4.71,2.96,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1076
0.51,63.3,59.0,5.09,5.12,3.23,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1722
0.35,61.7,56.0,4.55,4.53,2.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,984
0.26,62.0,54.0,4.08,4.11,2.54,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,384
1.0,57.3,61.0,6.64,6.59,3.79,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4155
1.03,60.3,58.0,6.57,6.62,3.98,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5143
0.93,60.6,59.0,6.3,6.34,3.83,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4214
1.07,62.5,57.0,6.58,6.5,4.09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6644
0.32,61.4,55.0,4.42,4.47,2.73,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,814
0.32,62.1,54.0,4.4,4.43,2.74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,802
2.0,60.3,56.0,8.08,8.11,4.88,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16425
0.7,60.0,57.0,5.74,5.8,3.46,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2335
0.4,61.2,58.0,4.74,4.86,2.94,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,847
1.0,63.0,59.0,6.43,6.34,4.02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4791
0.7,63.3,59.0,5.59,5.62,3.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2905
0.55,60.4,59.0,5.29,5.34,3.21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1755
0.52,63.7,54.0,5.12,5.15,3.27,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1388
0.82,62.5,57.0,5.91,5.97,3.71,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2832
0.31,61.3,55.0,4.37,4.34,2.67,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,558
0.33,61.2,55.0,4.45,4.47,2.73,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,801
2.28,62.7,57.0,8.43,8.36,5.26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16450
0.54,62.1,54.0,5.24,5.26,3.26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2180
1.56,62.4,54.0,7.48,7.43,4.65,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10728
0.82,61.3,57.0,6.02,6.07,3.7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3113
0.33,62.2,55.0,4.4,4.44,2.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,752
0.79,61.3,54.0,5.96,6.01,3.67,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3328
0.35,61.5,57.0,4.55,4.58,2.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,868
0.43,63.4,56.0,4.82,4.8,3.05,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,894
1.24,61.6,59.0,6.9,6.86,4.24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7000
0.65,61.8,55.0,5.57,5.6,3.45,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1862
0.57,61.6,58.0,5.36,5.33,3.29,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2753
2.02,60.4,58.0,8.2,8.16,4.94,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17357
0.63,61.4,54.0,5.54,5.56,3.41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1065
0.9,62.1,61.0,6.07,6.11,3.78,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3447
1.1,61.6,56.0,6.66,6.61,4.09,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4916
0.72,61.4,56.0,5.77,5.83,3.56,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3391
1.09,62.3,55.0,6.58,6.62,4.11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5238
1.02,59.9,58.0,6.6,6.55,3.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4478
0.34,63.7,55.0,4.46,4.43,2.83,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,612
0.41,63.1,59.0,4.75,4.7,2.98,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,904
0.7,62.8,56.0,5.64,5.67,3.55,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2287
1.06,61.9,59.0,6.57,6.52,4.05,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4155
0.32,62.7,58.0,4.35,4.33,2.72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,605
0.36,61.7,56.0,4.59,4.62,2.84,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,824
0.7,61.3,59.0,5.68,5.7,3.49,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2987
0.7,61.5,61.0,5.64,5.74,3.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2473
0.7,61.6,60.0,5.63,5.71,3.49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2593
0.61,63.4,55.0,5.39,5.43,3.43,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1356
1.0,60.3,56.0,6.54,6.52,3.94,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4788
0.36,61.4,58.0,4.59,4.56,2.81,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,851
0.72,61.9,55.0,5.76,5.78,3.57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2398
1.21,62.7,54.0,6.79,6.83,4.27,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8759
0.25,62.7,60.0,4.03,3.98,2.51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,577
1.45,62.6,58.0,7.28,7.16,4.52,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6980
0.7,63.1,56.0,5.62,5.69,3.57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2985
0.4,61.1,56.0,4.75,4.78,2.91,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,982
1.52,60.2,57.0,7.47,7.38,4.47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7661
0.31,62.0,59.0,4.3,4.34,2.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,789
0.33,61.7,61.0,4.45,4.43,2.74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,780
1.6,61.0,57.0,7.55,7.59,4.62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14383
1.01,60.7,58.0,6.42,6.49,3.92,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5599
0.56,61.0,57.0,5.32,5.36,3.26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2510
0.8,63.4,56.0,5.9,5.87,3.73,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2321
0.51,63.1,58.0,5.05,5.1,3.2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1838
0.3,61.5,62.0,4.31,4.28,2.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,468
0.35,61.9,58.0,4.5,4.54,2.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,706
1.01,66.1,55.0,6.19,6.1,4.06,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8529
1.05,59.8,60.0,6.54,6.61,3.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7667
1.2,62.8,57.0,6.7,6.74,4.22,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5408
0.9,62.8,57.0,6.15,6.2,3.88,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3160
1.01,62.0,57.0,6.42,6.38,3.97,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4242
0.43,60.9,57.0,4.88,4.91,2.98,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,943
0.52,62.8,61.0,5.11,5.14,3.22,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1244
0.72,60.3,57.0,5.82,5.86,3.52,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3478
1.31,59.6,58.0,7.14,7.08,4.24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6095
0.7,61.4,59.0,5.73,5.7,3.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2858
1.51,61.9,56.0,7.35,7.41,4.57,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13588
1.11,62.3,55.0,6.7,6.65,4.16,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5456
0.77,61.8,59.0,5.82,5.86,3.61,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1909
2.0,60.7,60.0,8.07,8.11,4.91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15312
1.51,62.6,56.0,7.28,7.32,4.57,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11580
0.31,61.7,56.0,4.35,4.4,2.7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,435
1.1,61.7,56.0,6.67,6.63,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9148
1.01,62.1,54.0,6.5,6.41,4.01,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5599
0.59,61.7,59.0,5.35,5.38,3.31,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2034
0.72,63.3,57.0,5.7,5.67,3.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1698
0.7,62.3,54.0,5.67,5.71,3.54,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3345
0.71,61.0,61.0,5.82,5.75,3.53,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2863
0.32,61.0,57.0,4.42,4.46,2.71,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,758
0.38,61.9,55.2,4.62,4.65,2.87,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,979
0.31,62.1,58.0,4.31,4.35,2.69,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,625
0.63,62.8,57.0,5.46,5.49,3.44,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1939
2.01,61.5,62.0,8.07,7.94,4.92,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15475
1.13,60.0,60.0,6.87,6.72,4.08,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7404
0.33,61.7,60.0,4.4,4.45,2.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,723
0.33,61.9,56.0,4.42,4.46,2.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,810
0.7,61.6,56.0,5.69,5.71,3.51,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2623
1.51,61.3,55.0,7.41,7.36,4.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6173
0.9,60.7,61.0,6.16,6.22,3.76,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3139
0.57,60.4,60.0,5.36,5.31,3.22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1760
1.53,61.2,59.0,7.41,7.39,4.53,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10282
0.31,62.1,55.0,4.34,4.39,2.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,789
1.01,64.6,60.0,6.34,6.22,4.06,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6353
2.31,62.9,58.0,8.43,8.34,5.27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17218
0.32,62.0,54.0,4.42,4.45,2.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,918
2.01,60.6,57.0,8.19,8.09,4.92,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17383
1.11,60.7,59.0,6.6,6.65,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8184
1.61,61.8,56.0,7.48,7.52,4.63,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13873
1.51,62.5,57.0,7.25,7.32,4.55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8242
0.59,60.1,57.0,5.45,5.49,3.29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1371
1.2,61.7,59.0,6.83,6.88,4.23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5884
1.75,61.6,55.0,7.72,7.77,4.77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12531
0.33,61.9,55.0,4.44,4.41,2.74,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,854
1.02,62.6,54.6,6.4,6.44,4.02,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4983
1.18,61.9,55.0,6.8,6.76,4.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7216
0.32,60.3,60.0,4.42,4.44,2.67,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,758
0.43,62.2,57.0,4.8,4.84,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,981
1.09,62.8,56.0,6.49,6.45,4.06,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4538
0.3,61.6,61.0,4.25,4.29,2.63,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,421
0.64,61.6,55.0,5.55,5.59,3.43,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1737
1.21,60.1,57.0,6.88,6.97,4.16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6887
1.12,62.3,57.0,6.59,6.64,4.12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6918
0.32,61.7,59.0,4.4,4.35,2.7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,648
0.31,61.8,57.0,4.37,4.33,2.69,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,684
0.57,60.2,59.0,5.35,5.38,3.23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1573
0.32,62.9,56.0,4.39,4.36,2.75,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,900
0.42,62.1,54.0,4.81,4.84,2.99,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,755
1.52,61.4,58.0,7.38,7.35,4.52,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13034
1.22,63.1,59.0,6.81,6.75,4.28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5192
1.09,62.3,56.0,6.63,6.59,4.12,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9650
0.51,60.9,56.0,5.19,5.16,3.15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1882
2.02,62.7,57.0,8.05,8.0,5.03,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15785
0.31,61.7,57.0,4.36,4.39,2.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,671
0.43,61.2,58.0,4.9,4.84,2.98,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1113
0.9,61.5,56.0,6.25,6.2,3.83,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4284
1.04,62.7,61.0,6.48,6.44,4.05,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5416
1.76,62.0,58.0,7.74,7.7,4.79,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11177
1.25,60.7,56.0,6.93,7.01,4.23,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9116
1.22,63.0,57.0,6.84,6.74,4.28,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6695
0.9,62.8,59.0,6.14,6.18,3.87,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4693
1.17,61.2,58.0,6.84,6.86,4.19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5595
1.71,58.1,62.0,8.02,7.84,4.61,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11161
0.3,61.9,58.0,4.27,4.29,2.65,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,694
1.04,62.3,54.0,6.55,6.49,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6206
